0,1,2,3,4,5,6,7,8,9,10,11,12,label
-386.65387,57.02423,-22.126987,-7.373469,-9.028038,11.696811,-29.085836,-3.1479356,-13.673544,0.08122454,-2.799947,3.4681005,-0.47411478,angry
-447.8823,70.02029,-7.251139,-15.752107,-15.004862,14.588127,-13.779358,2.622017,-16.213385,6.3459854,-12.79637,12.987254,-3.5059955,angry
-406.17514,31.89866,-10.602405,5.086763,-6.311346,6.098408,-24.24163,2.2834728,-17.651728,3.139005,-16.528175,11.234943,-4.0096917,angry
-387.20657,57.649464,-16.744614,-8.857875,-8.894719,11.639968,-26.329004,-3.2775338,-17.459158,0.714798,-5.23776,4.674434,-2.3633347,angry
-401.65063,56.30817,-1.0354266,12.937799,-0.28497088,4.7623153,-28.016224,11.107482,-22.916986,-9.275864,-14.28715,0.80535275,-7.180773,angry
-430.21823,53.935226,-10.394548,3.9380128,1.4603304,8.004948,-30.76131,1.0740175,-14.645392,-0.5453686,-13.786721,12.846367,-2.1081874,angry
-396.80048,56.414974,-15.788815,2.3335547,-8.678881,2.1836293,-26.718193,4.5738134,-16.184446,1.8605742,-14.336805,8.670149,-7.5256233,angry
-431.71185,76.92694,4.498916,-4.2484965,-13.562254,4.3103294,-20.491322,4.207055,-21.889084,-3.4159622,-12.859392,2.7651498,-4.483269,angry
-392.83502,63.799423,14.593109,2.8717258,-20.664114,0.39645818,-14.756956,4.988001,-23.227638,3.9659848,-16.392496,3.5933657,-4.90429,angry
-405.55142,49.714462,-11.12453,-9.285018,-14.052352,11.617983,-22.327684,1.0241718,-22.091839,-0.9016173,-12.168442,14.654873,-1.2624484,angry
-374.0819,54.537476,-16.792824,-14.775379,-16.437557,7.042966,-23.350548,9.133464,-21.398905,2.8071437,-13.938288,13.052601,-6.8897166,angry
-439.01205,81.17572,1.5784065,-14.696582,-6.411235,20.625662,-19.690893,-7.721229,-17.876722,1.1672976,-15.421385,2.2098887,-6.124943,angry
-424.9298,67.946205,-24.930285,-8.27785,-3.9930255,8.082317,-22.864647,2.814182,-16.582695,3.8069112,-13.387422,15.69556,-4.381091,angry
-404.20877,74.29378,-12.005301,-19.816494,-16.190386,2.1940293,-13.123916,7.0404735,-20.654804,0.28979394,-19.053988,9.874019,-3.210269,angry
-386.32867,49.61768,-19.457668,13.967241,-4.5956826,6.840182,-27.550982,-4.567497,-19.098215,-8.285044,-7.6685953,2.9730973,3.4944928,angry
-424.04303,55.756012,-16.773258,-6.6632514,-15.617905,9.924239,-14.626168,3.180509,-16.689089,2.9486916,-16.528437,17.082855,-2.1631312,angry
-375.00977,49.43113,-21.274054,14.118646,-8.118342,5.576285,-30.764318,-3.2815032,-19.019217,-7.8106956,-6.1163874,1.2478715,0.027097952,angry
-395.84506,47.20521,-15.839113,-3.071919,-7.704847,12.810837,-33.333992,-1.405404,-13.986708,-1.020492,-12.278788,11.410951,-4.793802,angry
-374.09784,53.027374,-25.196583,-4.884294,-13.796674,10.895607,-24.663643,5.9322925,-16.525871,0.06275401,-14.174261,9.00819,-5.788645,angry
-397.94653,55.541634,-24.386871,-5.7787046,-12.772283,6.0046744,-25.780396,4.2791996,-17.017756,5.2687497,-18.279459,12.166975,-6.6030254,angry
-380.1037,44.752262,-17.074697,-0.005025004,-7.5003853,6.3312025,-24.043657,-0.17106894,-12.775395,8.860698,-18.621304,12.590789,-3.1890302,angry
-441.14832,28.187319,-6.5923233,11.251543,-2.9552245,6.822191,-19.76911,7.9757967,-13.893216,-0.61899954,-12.663323,9.790094,-5.1859155,angry
-408.01596,24.051195,-11.358627,12.763855,0.0007991791,7.6241193,-23.745398,5.750887,-20.010263,-0.2919217,-18.826056,8.344864,-2.4343321,angry
-386.53787,40.80315,-17.31361,3.4146147,-7.812363,5.0221014,-25.33136,2.3544734,-18.145418,-0.3730571,-15.84289,8.01897,-5.184121,angry
-405.3697,57.58409,-7.4698706,-2.950118,-23.109495,0.46534935,-21.397234,2.0826173,-17.284027,3.5096579,-17.003363,10.594384,-8.217907,angry
-386.85324,50.381584,-20.300835,-9.647857,-9.527617,12.955559,-32.51825,2.4026227,-18.729929,-2.1350214,-11.31104,10.244586,-7.106783,angry
-442.1394,48.265697,-4.584946,9.377612,-0.5763063,7.5611424,-25.415844,4.273852,-18.7508,-1.598159,-15.917775,12.7563715,-4.1540775,angry
-415.33594,46.962246,-10.714434,-0.37232065,0.3837304,4.9535656,-30.2434,0.4246502,-14.606621,2.22236,-14.563115,12.103495,-3.56806,angry
-414.33237,47.06309,-12.193189,-3.238085,-1.9132332,9.076637,-27.811333,3.9907634,-13.27262,2.9769096,-9.698644,7.2377224,-7.1447306,angry
-436.84488,30.149899,-1.3045559,8.193797,4.9142566,6.489385,-21.732357,4.970314,-15.405357,-3.2280757,-14.131241,7.0522614,-4.783485,angry
-400.48914,63.291157,-19.15473,-7.444097,-7.9517956,9.296953,-25.019972,2.7918115,-17.822657,3.4612658,-10.550507,7.000742,-11.807261,angry
-396.9708,44.737286,-13.233263,7.284993,-9.451016,7.264069,-30.602268,-7.717031,-14.664635,-0.5742555,-0.86109567,4.24417,-2.2619703,angry
-466.8776,44.93798,-3.9786098,11.340623,-3.1592808,9.644541,-23.283978,5.1734576,-14.13935,1.8012276,-11.928894,13.459056,-0.4918777,angry
-460.31616,64.28793,-9.1319895,0.80904055,-11.2544155,9.916189,-18.88351,4.2591314,-16.166687,1.1687276,-11.8650465,13.463055,-4.6556954,angry
-389.65634,60.789047,-12.993082,-1.6929402,-18.876827,12.333586,-22.753544,-8.699575,-18.491058,-4.700461,-1.799995,6.634791,-0.48234698,angry
-407.40417,61.10102,-1.6907201,1.1576074,-26.681091,4.0225635,-22.028696,-4.4082336,-16.079973,-2.135308,-2.8131788,1.8722395,-0.45209542,angry
-399.12338,73.73149,-8.152575,-13.771578,-18.246988,5.279448,-22.710827,1.1663843,-20.07162,2.5075307,-14.782453,6.869639,-2.260659,angry
-397.37555,35.841087,-11.715797,-5.4197464,-5.964318,-1.9105389,-24.421803,0.9354268,-16.618752,8.61629,-14.180566,14.959696,-6.0485826,angry
-386.4116,60.11402,-3.6467946,-7.870316,-26.761353,2.3383508,-22.627445,7.484969,-18.20278,4.457823,-14.09827,6.5159802,-8.745881,angry
-376.18707,55.485535,-19.357454,-27.635712,-17.262455,9.911873,-20.882574,2.360777,-21.273966,2.447547,-15.835591,16.001308,-4.4308324,angry
-397.67258,47.871395,-19.43769,-15.806262,-5.0362315,10.518662,-25.030912,8.040151,-16.11195,4.9918275,-14.801597,8.622413,-7.373956,angry
-424.79572,43.274403,-11.816008,6.260046,-6.2371163,16.022228,-29.71597,-6.800971,-17.912872,1.3952143,-7.2445364,5.58113,2.7038496,angry
-429.44147,54.005314,-16.391691,-10.929392,-6.43272,12.078741,-22.575922,7.3554263,-20.567753,2.447665,-13.608857,19.77895,-2.460987,angry
-408.48297,50.607952,-3.7131693,5.5917554,-13.772423,15.847194,-22.329733,-7.715651,-23.47703,-5.462382,-9.413991,4.8279557,-2.980442,angry
-409.03137,53.840923,-18.654589,-9.352765,-7.6170955,8.081057,-24.709486,4.617312,-13.150165,4.108877,-11.094233,8.910392,-6.7968297,angry
-381.96103,45.60604,-26.75284,-0.8626867,-11.256016,9.387261,-28.079502,-4.8333697,-15.616089,2.7565854,-1.9547782,0.94777215,-3.5873554,angry
-403.42847,39.098915,-10.476146,8.14764,-3.2005742,5.085296,-24.826366,3.7709768,-18.573591,-4.206561,-19.20315,10.244888,-2.557516,angry
-404.46945,59.76394,-12.462082,-13.229221,-4.3267446,13.019116,-20.689451,-9.2241745,-22.919046,2.4828053,-14.791637,11.550146,-2.1234148,angry
-421.84787,46.72216,-13.31126,4.9676714,-5.8584495,12.149345,-31.886454,-4.664309,-13.402824,3.9121094,-1.0528384,1.6353574,0.47534168,angry
-426.27472,58.416473,-5.3071084,7.4797425,-3.3146858,13.604851,-24.540377,3.4350445,-18.069311,-3.6776993,-18.665293,5.2207074,-7.7497406,angry
-422.75168,63.83144,2.3008325,-7.374089,-20.703928,-1.3683449,-18.228748,4.931116,-24.04784,2.009225,-15.687095,7.2150187,-1.4317487,angry
-440.40332,65.83861,-9.681639,-3.74295,-3.4329417,12.4015255,-23.00351,-4.9649787,-22.477554,-0.5292302,-11.502114,14.332126,-1.706967,angry
-391.77237,44.59681,-6.6847243,1.2986782,-6.2619915,9.524018,-23.865492,-1.7673688,-20.389898,1.9632716,-19.345224,8.312012,-7.7208657,angry
-467.2277,70.31265,-5.0230565,3.6791945,-5.478413,16.283798,-20.854443,-0.06307027,-19.647316,-1.4160731,-9.545473,13.3531475,-8.419812,angry
-427.7433,52.185387,-23.97599,-15.960273,-6.1538258,9.744312,-20.90447,9.604898,-11.057104,3.8546216,-11.885216,10.950855,-3.5263944,angry
-381.12958,61.894505,-8.981485,-7.7723536,-34.634308,6.5154185,-25.023611,-0.5738077,-20.546537,-1.7324107,-1.3065903,-0.62205994,-2.5673192,angry
-385.4872,55.606525,-31.830702,-13.127715,-9.678338,7.794404,-32.403843,9.944143,-14.886617,6.7845283,-10.722599,7.5802307,-7.7086496,angry
-415.49207,43.78512,-10.188939,7.0108685,-6.1063576,4.688812,-29.205677,7.5114775,-18.332733,-4.3698125,-15.88224,10.924631,-2.2541895,angry
-388.8293,59.604614,-28.969612,-12.12612,-8.940888,11.187476,-25.735868,-2.0328906,-15.86174,-1.198908,0.23623446,3.5626364,-3.109195,angry
-420.50754,49.140884,-9.860728,4.3960514,-3.7521195,7.0417113,-26.844723,3.0909305,-17.485174,-7.26732,-15.936607,11.841693,-3.008041,angry
-408.8215,67.766846,-28.607658,-22.986639,-10.532634,13.571668,-22.63035,-2.070122,-20.874088,3.1409333,-13.273121,17.987371,-3.1721444,angry
-427.9308,63.57604,-18.392061,-0.2036204,-2.859421,1.5347875,-28.007479,1.7263007,-18.186274,-2.54657,-21.405228,12.425391,-1.603912,angry
-408.13147,65.78871,0.110371485,-0.9549959,-25.424257,1.6883583,-26.281168,-2.8955066,-25.666042,-1.055783,2.8992243,4.4565487,0.15283217,angry
-377.1263,72.5563,-9.532034,-7.834961,-22.542435,-5.2340794,-22.5277,8.243812,-22.84084,-0.12959422,-9.881102,6.1586084,-6.033526,angry
-405.35522,79.59262,-7.512015,-32.606274,-16.510479,17.223764,-22.825338,-4.7046633,-19.46371,0.17000899,-15.579383,6.094823,-0.94071937,angry
-434.7145,51.98775,-18.224356,-5.9304476,-10.041866,13.261932,-19.880896,7.8027225,-15.144801,-1.2292185,-10.893676,15.487093,-0.10587012,angry
-368.29303,60.73986,-17.792398,3.4339366,-7.758686,1.4005032,-31.082115,1.8764971,-19.705986,1.2100432,-15.437443,7.0804963,-6.502724,angry
-399.57605,73.91407,-14.774486,-11.98659,-10.81692,9.879937,-24.413591,2.2290025,-18.585169,4.9109106,-15.325781,5.244983,-5.7057915,angry
-395.9171,58.583355,-9.521186,7.1385646,-10.837693,11.842653,-23.013645,-7.6630197,-19.668772,-7.0038033,-9.4533615,0.28681606,-0.77516216,angry
-408.47525,49.98807,-11.898053,9.589781,-8.09007,15.690428,-26.691113,-8.8738365,-20.14662,-0.25021666,-2.1813512,0.73796356,0.39855596,angry
-447.55603,68.15853,-3.565645,2.6958714,-8.9038105,12.360634,-20.108902,-2.6916142,-20.083136,-0.012694857,-12.480179,14.040463,-9.049371,angry
-442.97583,42.875835,-2.5155945,3.823539,-5.9633026,14.079239,-19.996716,0.99930364,-15.758161,3.3341827,-17.705841,11.732676,-8.061051,angry
